pipi, wasserstein distance residual, n_estimators, learning_rate, max_depth, min_samples_leaf
-0.05221, 40,  0.2,   3,  200
-0.05453, 80,  0.1,   3,  200
-0.05515, 160, 0.05,  3,  200
-0.05490, 320, 0.025, 3,  200
-0.05676, 40,  0.2,   6,  200
-0.06494, 80,  0.1,   6,  200
-0.05937, 160, 0.05,  6,  200
-0.06155, 320, 0.025, 6,  200
-0.05686, 40,  0.2,   6,  1000
-0.05693, 80,  0.1,   6,  1000
-0.06068, 160, 0.05,  6,  1000
-0.05894, 320, 0.025, 6,  1000
-0.05782, 40,  0.2,   10, 1000
-0.05731, 80,  0.1,   10, 1000
-0.05766, 160, 0.05,  10, 1000
-0.05790, 320, 0.025, 10, 1000
